"prolific_id","subj","item_1","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_2","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_3","item_31","item_32","item_33","item_34","item_35","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
"5f00ca41c6d8de1f3545b0c8",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e823b35726b2a9508db127c",12,"3","1","2","1","2","2","3","1","2","3","2","2","1","1","1","2","2","1","2","2","1","2","3","1","1","1","2","2","3","2","2","1","3","3","3"
"5e445abe3641532e49d34fc8",13,"1","2","2","1","1","1","2","2","2","2","1","2","2","0","2","3","2","2","1","2","2","2","2","2","0","3","2","0","1","2","1","3","3","2","2"
"5e7cc492285d382fc78ef1ad",14,"1","1","2","0","1","1","1","2","0","1","1","1","0","0","3","0","2","2","0","3","1","2","2","2","1","1","0","1","0","0","1","0","3","3","2"
"5bc7033bd2bea100010ca42e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d40688398eff00001b7f3de",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d08d6b61f60ac0016b1514c",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e3c565bd3245203baf54ad7",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d66f23706e589000157e7ec",19,"1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","2","1","2","1","2","1","1","1","2","1","2","1","2","1","1","2","2","2"
"5dd65ea187c1fd5e60c9d7fd",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5edf7eb5f7c9f924584dbb3d",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c636850bad3560001c2749e",22,"1","1","1","0","2","0","3","3","1","1","0","0","2","0","3","3","1","3","0","2","1","1","0","1","3","1","0","3","1","0","0","2","3","3","3"
